1887 	-15 	179 	-248 	
1888 	-18 	190 	-249 	
1889 	-15 	186 	-228 	
1891 	-15 	173 	-220 	
1892 	-17 	178 	-219 	
1893 	-11 	185 	-247 	
1895 	-16 	176 	-247 	
1897 	-18 	186 	-238 	
1898 	-14 	181 	-216 	
1899 	-5 	177 	-220 	
1900 	-15 	190 	-241 	
1901 	-21 	177 	-251 	
1902 	-23 	158 	-214 	
1903 	-23 	175 	-235 	
1904 	-27 	170 	-254 	
1905 	-22 	176 	-228 	
1906 	-16 	174 	-223 	
1907 	-20 	167 	-239 	
1908 	-24 	180 	-245 	
1909 	-24 	182 	-237 	
1910 	-34 	151 	-244 	
1911 	-14 	172 	-221 	
1912 	-31 	166 	-224 	
1913 	-18 	169 	-235 	
1914 	-10 	173 	-202 	
1915 	-26 	172 	-235 	
1916 	-24 	166 	-234 	
1917 	-16 	167 	-231 	
1919 	-24 	178 	-243 	
1921 	-14 	182 	-216 	
1922 	-25 	184 	-251 	
1923 	-22 	167 	-231 	
1924 	-16 	176 	-221 	
1925 	-13 	173 	-227 	
1926 	-7 	187 	-235 	
1927 	-15 	166 	-221 	
1928 	-21 	185 	-236 	
1929 	-24 	162 	-270 	
1930 	-22 	173 	-235 	
1931 	-24 	172 	-242 	
1932 	-8 	170 	-215 	
1933 	-27 	170 	-237 	
1934 	-19 	169 	-233 	
1935 	-15 	175 	-220 	
1936 	-23 	166 	-232 	
1937 	-21 	169 	-236 	
1938 	-5 	173 	-218 	
1939 	-1 	192 	-200 	
1940 	-19 	166 	-245 	
1941 	-14 	178 	-222 	
1942 	-16 	167 	-218 	
1943 	-18 	173 	-238 	
1944 	-19 	171 	-230 	
1945 	-20 	164 	-248 	
1946 	-18 	181 	-233 	
1947 	-31 	162 	-269 	
1948 	-5 	181 	-207 	
1949 	-7 	168 	-205 	
1950 	-2 	189 	-201 	
1951 	-15 	167 	-229 	
1952 	-13 	180 	-214 	
1953 	-4 	184 	-213 	
1954 	-13 	187 	-231 	
1955 	-8 	187 	-209 	
1956 	-17 	178 	-226 	
1957 	-21 	161 	-237 	
1958 	-6 	182 	-200 	
1959 	-6 	169 	-214 	
1960 	-12 	172 	-206 	
1961 	-13 	160 	-210 	
1962 	-8 	175 	-188 	
1963 	-1 	173 	-192 	
1964 	-14 	181 	-220 	
1965 	-7 	173 	-210 	
1966 	-17 	167 	-228 	
1967 	-6 	166 	-211 	
1968 	-11 	174 	-226 	
1969 	-16 	181 	-245 	
1970 	-17 	179 	-226 	
1971 	-11 	171 	-226 	
1972 	-16 	166 	-222 	
1973 	-7 	164 	-207 	
1974 	-19 	186 	-231 	
1975 	-5 	171 	-224 	
1976 	-14 	169 	-203 	
1977 	-13 	175 	-239 	
1978 	-8 	170 	-215 	
1979 	-5 	182 	-214 	
1980 	-11 	192 	-214 	
1981 	-3 	170 	-209 	
1982 	-7 	167 	-204 	
1983 	-3 	158 	-183 	
1984 	-17 	167 	-219 	
1985 	-12 	171 	-227 	
1987 	8 	170 	-168 	
1988 	-3 	165 	-204 	
1989 	-4 	166 	-208 	
1990 	7 	176 	-204 	
1991 	-7 	182 	-225 	
1992 	2 	169 	-186 	
1993 	6 	185 	-192 	
1994 	5 	184 	-198 	
1995 	8 	179 	-176 	
