NODES:
0, 1, 4, 11, 38, 20, 28, 2, 6, 14, 33, 34, 3, 31, 46, 10, 21, 26, 32, 5, 9, 18, 44, 7, 15, 25, 42, 43, 8, 12, 13, 30, 37, 23, 48, 16, 27, 24, 19, 40, 45, 22, 35, 47, 36
EDGES:
0 -0- 1
0 -0- 4
0 -0- 11
0 -0- 38
0 -0- 20
0 -0- 28
0 -0- 2
0 -0- 6
0 -0- 14
0 -0- 33
0 -0- 34
0 -0- 3
0 -0- 31
0 -0- 46
0 -0- 10
0 -0- 21
0 -0- 26
0 -0- 32
0 -0- 5
0 -0- 9
0 -0- 18
0 -0- 44
0 -0- 7
0 -0- 15
0 -0- 25
0 -0- 42
0 -0- 43
0 -0- 8
0 -0- 12
0 -0- 13
0 -0- 30
0 -0- 37
0 -0- 23
0 -0- 48
0 -0- 16
0 -0- 27
0 -0- 24
0 -0- 19
0 -0- 40
0 -0- 45
0 -0- 22
0 -0- 35
0 -0- 47
0 -0- 36
1 -0- 4
1 -0- 11
1 -0- 38
1 -0- 20
1 -0- 28
1 -0- 2
1 -0- 6
1 -0- 14
1 -0- 33
1 -0- 34
1 -0- 3
1 -0- 31
1 -0- 46
1 -0- 10
1 -0- 21
1 -0- 26
1 -0- 32
1 -0- 5
1 -0- 9
1 -0- 18
1 -0- 44
1 -0- 7
1 -0- 15
1 -0- 25
1 -0- 42
1 -0- 43
1 -0- 8
1 -0- 12
1 -0- 13
1 -0- 30
1 -0- 37
1 -0- 23
1 -0- 48
1 -0- 16
1 -0- 27
1 -0- 24
1 -0- 19
1 -0- 40
1 -0- 45
1 -0- 22
1 -0- 35
1 -0- 47
1 -0- 36
4 -0- 11
4 -0- 38
4 -0- 20
4 -0- 28
4 -0- 2
4 -0- 6
4 -0- 14
4 -0- 33
4 -0- 34
4 -0- 3
4 -0- 31
4 -0- 46
4 -0- 10
4 -0- 21
4 -0- 26
4 -0- 32
4 -0- 5
4 -0- 9
4 -0- 18
4 -0- 44
4 -0- 7
4 -0- 15
4 -0- 25
4 -0- 42
4 -0- 43
4 -0- 8
4 -0- 12
4 -0- 13
4 -0- 30
4 -0- 37
4 -0- 23
4 -0- 48
4 -0- 16
4 -0- 27
4 -0- 24
4 -0- 19
4 -0- 40
4 -0- 45
4 -0- 22
4 -0- 35
4 -0- 47
4 -0- 36
11 -0- 38
11 -0- 20
11 -0- 28
11 -0- 2
11 -0- 6
11 -0- 14
11 -0- 33
11 -0- 34
11 -0- 3
11 -0- 31
11 -0- 46
11 -0- 10
11 -0- 21
11 -0- 26
11 -0- 32
11 -0- 5
11 -0- 9
11 -0- 18
11 -0- 44
11 -0- 7
11 -0- 15
11 -0- 25
11 -0- 42
11 -0- 43
11 -0- 8
11 -0- 12
11 -0- 13
11 -0- 30
11 -0- 37
11 -0- 23
11 -0- 48
11 -0- 16
11 -0- 27
11 -0- 24
11 -0- 19
11 -0- 40
11 -0- 45
11 -0- 22
11 -0- 35
11 -0- 47
11 -0- 36
